Date,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,TurnoverRate,MA10,MA50,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,Momentum,ATR
2021-06-28,5.57,5.46,5.61,5.45,77823,42775629.0,2.85,-2.85,-0.16,2.94,7.0,7.2642,6.787870397631263,7.07524374678693,-0.2873733491556667,-0.045578565508632304,-0.24179478364703438,21.005917159763328,-0.2777777777777778,0.3628571428571428
2021-06-29,5.44,5.45,5.49,5.4,40145,21839909.0,1.65,-0.18,-0.01,1.52,6.780000000000001,7.239599999999999,6.582044182611068,6.954855321099009,-0.3728111384879407,-0.11102508010449398,-0.2617860583834467,18.042813455657495,-0.2875816993464052,0.3542857142857142
2021-06-30,5.46,5.47,5.48,5.39,41006,22261714.0,1.65,0.37,0.02,1.55,6.588000000000001,7.2154,6.410960462209365,6.844866038054637,-0.4339055758452721,-0.17560117925264962,-0.2583043965926225,19.122257053291534,-0.2598105548037889,0.35000000000000003
2021-07-01,5.47,5.32,5.47,5.32,36126,19506828.0,2.74,-2.74,-0.15,1.37,6.359,7.1858,6.243120391100232,6.731912998198738,-0.4887926070985058,-0.23823946482182085,-0.25055314227668496,18.4848484848485,-0.3009198423127464,0.35428571428571426
2021-07-02,5.35,5.27,5.35,5.24,36849,19470707.0,2.07,-0.94,-0.05,1.39,6.133000000000001,7.1415999999999995,6.093409561700197,6.6236231464803135,-0.5302135847801166,-0.29663428881348,-0.23357929596663662,14.10658307210035,-0.30013280212483406,0.33499999999999996
2021-07-05,5.27,5.4,5.4,5.27,25724,13776570.0,2.47,2.47,0.13,0.97,5.915,7.085,5.986731167592474,6.53298439488918,-0.546253227296706,-0.3465580765101252,-0.1996951507865808,15.17027863777092,-0.28759894459102897,0.3214285714285715
2021-07-06,5.38,5.41,5.45,5.35,28277,15265309.0,1.85,0.19,0.01,1.07,5.691,7.0378,5.89800329565517,6.449800365638129,-0.5517970699829595,-0.38760587520469214,-0.16419119477826738,16.77852348993291,-0.29281045751633983,0.3064285714285715
2021-07-07,5.41,5.4,5.45,5.39,24959,13507708.0,1.11,-0.18,-0.01,0.94,5.466,6.9968,5.821387404015913,6.372037375590861,-0.5506499715749484,-0.42021469447874343,-0.130435277096205,10.108303249097474,-0.2941176470588235,0.2821428571428572
2021-07-08,5.41,5.34,5.43,5.33,27947,15002048.0,1.85,-1.11,-0.06,1.06,5.414,6.9396,5.747327803398081,6.295590162584131,-0.54826235918605,-0.4458242274202048,-0.10243813176584526,10.181818181818201,-0.08873720136518781,0.2692857142857143
2021-07-09,5.33,5.44,5.44,5.32,28219,15253410.0,2.25,1.87,0.1,1.07,5.395999999999999,6.900799999999999,5.700046602875299,6.232213113503825,-0.5321665106285254,-0.46309268406186893,-0.06907382656665645,11.785714285714306,-0.03202846975088958,0.2664285714285715
2021-07-12,5.44,5.45,5.5,5.41,38283,20892015.0,1.65,0.18,0.01,1.45,5.3950000000000005,6.8704,5.661577894740637,6.1742714013924305,-0.512693506651793,-0.4730128485798538,-0.03968065807193921,9.85401459854016,-0.001831501831501825,0.2621428571428573
2021-07-13,5.46,5.47,5.5,5.41,33218,18135178.0,1.65,0.37,0.02,1.26,5.397,6.8264,5.632104372472847,6.122103149437435,-0.4899987769645877,-0.4764100342568006,-0.013588742707787094,10.50724637681158,0.003669724770642091,0.2542857142857144
2021-07-14,5.47,5.41,5.52,5.41,29323,15997897.0,2.01,-1.1,-0.06,1.11,5.391,6.779599999999999,5.5979344690154855,6.069354767997625,-0.47142029898213966,-0.47541208720186845,0.003991788219728787,28.155339805825236,-0.010968921389396646,0.1242857142857143
2021-07-15,5.4,5.32,5.44,5.24,30567,16307752.0,3.7,-1.66,-0.09,1.16,5.391,6.7362,5.55517531993618,6.013847007405208,-0.4586716874690282,-0.47206400725530046,0.013392319786272255,32.95454545454545,0.0,0.11500000000000002
